待ち牌のロス数,手牌,ロスの内訳
0,111233457,
0,111234568,
0,111235678,
0,111345699,
0,112224567,
0,112344567,
0,112345677,
0,112345678,
0,113334567,
0,113445567,
0,113455678,
0,113456678,
0,113456789,
0,114444567,
0,114455667,
0,114555567,
0,114556677,
0,114566667,
0,114566778,
0,114567777,
0,114567789,
0,114567888,
0,114567999,
0,122234567,
0,122235678,
0,123333457,
0,123334567,
0,123345699,
0,123445677,
0,123455567,
0,123456667,
0,123456788,
0,123456799,
0,123467778,
0,123467888,
0,134567888,
0,222334567,
0,222344457,
0,222344567,
0,222345667,
0,222345677,
0,222345679,
0,222345699,
0,222346678,
0,222346789,
0,223333457,
0,223334567,
0,223455678,
0,223456667,
0,223456678,
0,223456788,
0,223456789,
0,233334457,
0,233334557,
0,233344567,
0,233345677,
0,233345678,
0,233346678,
0,233346789,
0,233444457,
0,233445699,
0,234444568,
0,234445677,
0,234445678,
0,234455567,
0,234456667,
0,234456788,
0,234456799,
0,234467778,
0,234467888,
0,234556667,
0,234556788,
0,234556799,
0,234566677,
0,234566678,
0,234567778,
0,234567899,
0,234578889,
0,234578999,
0,245666678,
0,245678999,
0,333345699,
0,334445678,
0,334455699,
0,334555567,
0,334566678,
0,334566789,
0,334567778,
0,334567888,
0,334567899,
0,344445699,
0,344455678,
0,344456667,
0,344456678,
0,344456788,
0,344456789,
0,344555567,
0,344556699,
0,344567888,
0,345555667,
0,345555677,
0,345555699,
0,345556678,
0,345556789,
0,345566799,
0,345666699,
0,345667778,
0,345667888,
0,345667899,
0,345677788,
0,345677789,
0,345677799,
0,345677888,
0,345678889,
0,345688899,
0,355677778,
0,356666778,
0,356667888,
0,356677778,
0,356777788,
0,356777789,
0,356778999,
1,111224567,1s1枚
1,111225678,1s1枚
1,111333457,1s1枚
1,111334567,1s1枚
1,111335678,1s1枚
1,111344457,1s1枚
1,111445677,1s1枚
1,111455567,1s1枚
1,111456667,1s1枚
1,111456788,1s1枚
1,111456799,1s1枚
1,111467778,1s1枚
1,111467888,1s1枚
1,112225678,2s1枚
1,113456999,9s1枚
1,222335678,2s1枚
1,222346999,9s1枚
1,223456999,9s1枚
1,233346999,9s1枚
1,234577888,8s1枚
1,234577999,9s1枚
1,234588899,8s1枚
1,234588999,9s1枚
1,334566999,9s1枚
1,344456999,9s1枚
1,345556999,9s1枚
1,345677999,9s1枚
1,345688999,9s1枚
1,356667999,9s1枚
1,356777999,9s1枚
2,112223337,2s1枚 3s1枚
2,222333447,2s1枚 3s1枚
2,366777888,7s1枚 8s1枚
2,377788899,7s1枚 8s1枚
3,111222237,3s3枚
3,111233337,2s3枚
3,113333457,4s3枚
3,113444457,3s3枚
3,113455677,3s3枚
3,114456678,8s3枚
3,114677778,8s3枚
3,114678888,7s3枚
3,123344457,1s3枚
3,123445678,2s3枚
3,123455568,2s3枚
3,123455678,7s3枚
3,134445678,7s3枚
3,135677778,3s3枚
3,222234447,3s3枚
3,222234699,3s3枚
3,223345678,7s3枚
3,233334447,2s3枚
3,233334578,7s3枚
3,233334579,7s3枚
3,233334699,2s3枚
3,234455568,2s3枚
3,234455678,7s3枚
3,234456699,2s3枚
3,234555667,3s3枚
3,234555677,3s3枚
3,234556678,3s3枚
3,234556789,3s3枚
3,234566679,3s3枚
3,234566789,8s3枚
3,234567788,3s3枚
3,235677778,3s3枚
3,245556678,8s3枚
3,245556789,8s3枚
3,334555678,7s3枚
3,334556799,7s3枚
3,344555678,7s3枚
3,356666799,7s3枚
3,356667789,9s3枚
3,356777799,6s3枚
3,366677778,8s3枚
3,366678888,7s3枚
3,377778999,8s3枚
3,378888999,7s3枚
4,111122337,2s2枚 3s2枚
4,111222346,9s4枚
4,111223346,9s4枚
4,111223347,2s2枚 3s2枚
4,111223456,9s4枚
4,111223457,1s1枚 4s3枚
4,111233346,9s4枚
4,111233456,9s4枚
4,111234556,9s4枚
4,111234557,1s1枚 4s3枚
4,111234566,9s4枚
4,111234588,9s4枚
4,111234599,8s4枚
4,111235567,9s4枚
4,111334566,9s4枚
4,111344456,9s4枚
4,111345556,9s4枚
4,111345667,1s1枚 4s3枚
4,111345677,9s4枚
4,111345688,9s4枚
4,111356667,9s4枚
4,111356777,9s4枚
4,111455678,1s1枚 7s3枚
4,112222346,9s4枚
4,112223456,9s4枚
4,112233447,2s2枚 3s2枚
4,112333346,9s4枚
4,112334456,9s4枚
4,112334457,3s2枚 4s2枚
4,112345556,9s4枚
4,112345567,9s4枚
4,113333456,9s4枚
4,113334566,9s4枚
4,113335678,2s4枚
4,113344556,9s4枚
4,113344557,3s2枚 4s2枚
4,113444456,9s4枚
4,113445566,9s4枚
4,113455556,9s4枚
4,113455567,9s4枚
4,113455667,9s4枚
4,113456666,9s4枚
4,113456777,9s4枚
4,113456888,9s4枚
4,114445678,2s4枚
4,114556678,2s4枚
4,114566678,2s4枚
4,114566789,2s4枚
4,114667788,7s2枚 8s2枚
4,114677889,7s2枚 8s2枚
4,115555678,2s4枚
4,115566778,2s4枚
4,115666678,2s4枚
4,115667788,2s4枚
4,115677778,2s4枚
4,115677889,2s4枚
4,115678888,2s4枚
4,115678999,2s4枚
4,122223346,9s4枚
4,122223446,9s4枚
4,122233456,9s4枚
4,122234566,9s4枚
4,122235567,9s4枚
4,122333346,9s4枚
4,122334447,2s2枚 3s2枚
4,122334588,9s4枚
4,122334599,8s4枚
4,122334699,2s2枚 3s2枚
4,123333446,9s4枚
4,123334566,9s4枚
4,123344456,9s4枚
4,123345556,9s4枚
4,123345677,9s4枚
4,123345688,9s4枚
4,123356667,9s4枚
4,123356777,9s4枚
4,123445556,9s4枚
4,123445688,9s4枚
4,123445699,8s4枚
4,123455566,9s4枚
4,134555567,9s4枚
4,222233346,9s4枚
4,222233446,9s4枚
4,222234446,9s4枚
4,222234588,9s4枚
4,222234599,8s4枚
4,222333346,9s4枚
4,222333446,9s4枚
4,222333457,1s4枚
4,222334456,9s4枚
4,222334457,1s4枚
4,222334566,9s4枚
4,222334568,2s1枚 5s3枚
4,222344446,9s4枚
4,222344456,9s4枚
4,222344566,9s4枚
4,222344568,1s4枚
4,222345556,9s4枚
4,222345668,2s1枚 5s3枚
4,222345688,9s4枚
4,222346666,9s4枚
4,222346777,9s4枚
4,222346888,9s4枚
4,222356667,9s4枚
4,222356777,9s4枚
4,222445677,1s4枚
4,222455567,1s4枚
4,222456667,1s4枚
4,222456788,1s4枚
4,222456799,1s4枚
4,222467778,1s4枚
4,222467888,1s4枚
4,223333446,9s4枚
4,223333456,9s4枚
4,223334566,9s4枚
4,223335678,1s4枚
4,223344446,9s4枚
4,223344447,2s2枚 3s2枚
4,223344556,9s4枚
4,223344588,9s4枚
4,223344599,8s4枚
4,223344699,2s2枚 3s2枚
4,223444456,9s4枚
4,223444457,1s4枚
4,223445566,9s4枚
4,223445567,1s4枚
4,223455556,9s4枚
4,223455567,9s4枚
4,223455667,9s4枚
4,223456666,9s4枚
4,223456777,9s4枚
4,223456888,9s4枚
4,224444567,1s4枚
4,224445677,1s4枚
4,224445678,1s4枚
4,224455667,1s4枚
4,224555567,1s4枚
4,224556677,1s4枚
4,224556678,1s4枚
4,224566667,1s4枚
4,224566678,1s4枚
4,224566778,1s4枚
4,224566789,1s4枚
4,224567777,1s4枚
4,224567789,1s4枚
4,224567888,1s4枚
4,224567999,1s4枚
4,225555678,1s4枚
4,225566778,1s4枚
4,225666678,1s4枚
4,225667788,1s4枚
4,225677778,1s4枚
4,225677889,1s4枚
4,225678888,1s4枚
4,225678999,1s4枚
4,233334446,9s4枚
4,233334556,9s4枚
4,233334588,9s4枚
4,233334599,8s4枚
4,233344446,9s4枚
4,233344566,9s4枚
4,233345556,9s4枚
4,233345567,9s4枚
4,233345667,9s4枚
4,233346666,9s4枚
4,233346777,9s4枚
4,233346888,9s4枚
4,233444456,9s4枚
4,233445556,9s4枚
4,233445588,9s4枚
4,233445599,8s4枚
4,233445677,9s4枚
4,233445688,9s4枚
4,233456667,9s4枚
4,233456777,9s4枚
4,234444556,9s4枚
4,234444557,1s4枚
4,234444566,9s4枚
4,234444588,9s4枚
4,234444599,8s4枚
4,234445556,9s4枚
4,234445567,9s4枚
4,234445688,9s4枚
4,234445699,8s4枚
4,234455566,9s4枚
4,234455688,9s4枚
4,234455699,8s4枚
4,234555588,9s4枚
4,234555599,8s4枚
4,234556777,9s4枚
4,234556999,3s3枚 9s1枚
4,234566688,9s4枚
4,234566699,8s4枚
4,234566777,9s4枚
4,234577788,9s4枚
4,234577799,8s4枚
4,244566667,9s4枚
4,244567888,5s3枚 8s1枚
4,245555667,9s4枚
4,245556777,9s4枚
4,245566667,9s4枚
4,245666677,9s4枚
4,245667888,9s4枚
4,245677888,5s3枚 8s1枚
4,333344456,9s4枚
4,333344457,1s4枚
4,333344557,1s4枚
4,333345556,9s4枚
4,333345557,1s4枚
4,333345677,9s4枚
4,333345688,9s4枚
4,333356667,9s4枚
4,333356777,9s4枚
4,333444457,1s4枚
4,333444557,1s4枚
4,333445567,1s4枚
4,333445677,1s4枚
4,333445678,1s4枚
4,333455557,1s4枚
4,333455567,1s4枚
4,333455568,1s4枚
4,333455677,1s4枚
4,333455678,1s4枚
4,333456667,1s4枚
4,333456778,1s4枚
4,333456788,1s4枚
4,333456799,1s4枚
4,333457777,1s4枚
4,333457789,1s4枚
4,333457888,1s4枚
4,333457999,1s4枚
4,333467778,1s4枚
4,333467888,1s4枚
4,334444556,9s4枚
4,334444557,1s4枚
4,334444566,9s4枚
4,334444567,1s4枚
4,334444568,1s4枚
4,334445567,9s4枚
4,334445677,1s4枚
4,334455556,9s4枚
4,334455557,1s4枚
4,334455667,1s4枚
4,334455677,9s4枚
4,334455688,9s4枚
4,334555566,9s4枚
4,334556667,9s4枚
4,334556677,1s4枚
4,334556777,9s4枚
4,334566667,1s4枚
4,334566677,9s4枚
4,334566688,9s4枚
4,334566777,9s4枚
4,334566778,1s4枚
4,334566888,9s4枚
4,334567777,1s4枚
4,334567789,1s4枚
4,334567999,1s4枚
4,344445556,9s4枚
4,344445557,1s4枚
4,344445566,9s4枚
4,344445568,1s4枚
4,344445667,1s4枚
4,344445668,1s4枚
4,344445677,9s4枚
4,344445688,9s4枚
4,344455556,9s4枚
4,344455557,1s4枚
4,344455567,9s4枚
4,344455667,9s4枚
4,344455677,1s4枚
4,344456666,9s4枚
4,344456777,9s4枚
4,344456778,1s4枚
4,344456888,9s4枚
4,344457777,1s4枚
4,344457789,1s4枚
4,344457888,1s4枚
4,344457999,1s4枚
4,344555566,9s4枚
4,344555568,1s4枚
4,344556667,1s4枚
4,344556677,9s4枚
4,344556688,9s4枚
4,344556788,1s4枚
4,344556799,1s4枚
4,344566667,9s4枚
4,344567778,1s4枚
4,344567999,6s3枚 9s1枚
4,345555679,1s4枚
4,345555688,9s4枚
4,345556666,9s4枚
4,345556667,1s4枚
4,345556777,9s4枚
4,345556788,1s4枚
4,345556799,1s4枚
4,345556888,9s4枚
4,345566677,1s4枚
4,345566678,1s4枚
4,345566777,9s4枚
4,345566788,9s4枚
4,345567778,1s4枚
4,345567899,1s4枚
4,345578889,1s4枚
4,345578999,1s4枚
4,345666677,9s4枚
4,345666688,9s4枚
4,355556667,9s4枚
4,355556677,9s4枚
4,355556777,9s4枚
4,355566667,9s4枚
4,355567777,9s4枚
4,355666677,9s4枚
4,355666678,9s4枚
4,355666777,9s4枚
4,355667777,9s4枚
4,355667799,6s2枚 7s2枚
4,355678999,6s3枚 9s1枚
4,356666777,9s4枚
4,356666788,9s4枚
4,356667777,9s4枚
4,356677888,9s4枚
4,356677899,6s2枚 7s2枚
4,356777888,9s4枚
4,356788999,6s3枚 9s1枚
4,366667788,7s2枚 8s2枚
4,366677889,7s2枚 8s2枚
4,366778899,7s2枚 8s2枚
4,367788999,7s2枚 8s2枚
4,377889999,7s2枚 8s2枚
4,444455567,1s4枚
4,444456667,1s4枚
4,444456788,1s4枚
4,444456799,1s4枚
4,444467778,1s4枚
4,444467888,1s4枚
4,445555667,1s4枚
4,445555677,1s4枚
4,445556678,1s4枚
4,445556789,1s4枚
4,445566667,1s4枚
4,445566788,1s4枚
4,445566799,1s4枚
4,445666677,1s4枚
4,445666678,1s4枚
4,445667778,1s4枚
4,445667888,1s4枚
4,445677788,1s4枚
4,445677789,1s4枚
4,445677799,1s4枚
4,445677888,1s4枚
4,445677999,1s4枚
4,445678889,1s4枚
4,445678999,1s4枚
4,455556667,1s4枚
4,455556677,1s4枚
4,455556788,1s4枚
4,455556799,1s4枚
4,455566667,1s4枚
4,455566678,1s4枚
4,455566778,1s4枚
4,455566789,1s4枚
4,455567777,1s4枚
4,455567778,1s4枚
4,455567789,1s4枚
4,455567888,1s4枚
4,455567899,1s4枚
4,455567999,1s4枚
4,455666677,1s4枚
