待ち牌のロス数,手牌,ロスの内訳
0,1234567,
0,2344567,
0,2345678,
0,3456678,
0,3456789,
1,1114567,1s1枚
1,3456999,9s1枚
4,1113456,9s4枚
4,1233456,9s4枚
4,2223456,9s4枚
4,2224567,1s4枚
4,2334456,9s4枚
4,2345567,9s4枚
4,3333456,9s4枚
4,3334567,1s4枚
4,3344556,9s4枚
4,3444456,9s4枚
4,3445566,9s4枚
4,3445567,1s4枚
4,3455556,9s4枚
4,3455667,9s4枚
4,3455678,1s4枚
4,3456666,9s4枚
4,3456777,9s4枚
4,3456888,9s4枚
4,4444567,1s4枚
4,4455667,1s4枚
4,4555567,1s4枚
4,4556677,1s4枚
4,4566667,1s4枚
4,4566778,1s4枚
4,4567777,1s4枚
4,4567789,1s4枚
4,4567888,1s4枚
4,4567999,1s4枚
5,1115678,1s1枚 2s4枚
5,2225678,1s4枚 2s1枚
5,2345888,8s1枚 9s4枚
5,2345999,8s4枚 9s1枚
6,1234678,7s3枚 8s3枚
6,1235678,1s3枚 2s3枚
6,2344678,7s3枚 8s3枚
6,2345677,2s3枚 3s3枚
6,2345789,8s3枚 9s3枚
6,2346678,2s3枚 3s3枚
6,2346789,2s3枚 3s3枚
6,3345678,7s3枚 8s3枚
7,1113457,1s1枚 3s3枚 4s3枚
7,1114678,1s1枚 7s3枚 8s3枚
7,2222346,3s3枚 9s4枚
7,2333346,2s3枚 9s4枚
7,2344566,2s3枚 9s4枚
7,2346999,2s3枚 3s3枚 9s1枚
7,3333457,1s4枚 4s3枚
7,3345567,7s3枚 9s4枚
7,3444457,1s4枚 3s3枚
7,3455677,1s4枚 3s3枚
7,3566667,7s3枚 9s4枚
7,3567777,6s3枚 9s4枚
7,3567999,6s3枚 7s3枚 9s1枚
7,4456678,1s4枚 8s3枚
7,4677778,1s4枚 8s3枚
7,4678888,1s4枚 7s3枚
8,1112345,8s4枚 9s4枚
8,1223345,8s4枚 9s4枚
8,1223346,2s2枚 3s2枚 9s4枚
8,1233457,1s3枚 3s2枚 4s3枚
8,1234456,8s4枚 9s4枚
8,2222345,8s4枚 9s4枚
8,2233445,8s4枚 9s4枚
8,2233446,2s2枚 3s2枚 9s4枚
8,2333345,8s4枚 9s4枚
8,2334455,8s4枚 9s4枚
