待ち牌のロス数,手牌,ロスの内訳
4,3444555666,9s4枚
4,3444555667,1s4枚
4,3445556667,9s4枚
4,3445556677,1s4枚
4,3445556678,1s4枚
4,3445566667,1s4枚
4,3445566777,9s4枚
4,3445566778,1s4枚
4,3445566888,9s4枚
4,3445567777,1s4枚
4,3445567789,1s4枚
4,3445567888,1s4枚
4,3445567999,1s4枚
4,3455556666,9s4枚
4,3455556777,9s4枚
4,3455556888,9s4枚
4,3455566677,9s4枚
4,3455566778,1s4枚
4,3455666678,1s4枚
4,3455667777,9s4枚
4,3455667788,1s4枚
4,3455667888,9s4枚
4,3455677778,1s4枚
4,3455677889,1s4枚
4,3455678888,1s4枚
4,3455678999,1s4枚
4,3456666777,9s4枚
4,3456666888,9s4枚
4,3566667777,9s4枚
4,3566667999,7s3枚 9s1枚
4,3567777999,6s3枚 9s1枚
4,4444555567,1s4枚
4,4444556677,1s4枚
4,4444566667,1s4枚
4,4444566778,1s4枚
4,4444567777,1s4枚
4,4444567789,1s4枚
4,4444567888,1s4枚
4,4444567999,1s4枚
4,4445556667,1s4枚
4,4445566777,1s4枚
4,4455566677,1s4枚
4,4455666778,1s4枚
4,4455667777,1s4枚
4,4455667789,1s4枚
4,4455667888,1s4枚
4,4455667999,1s4枚
4,4456678888,1s4枚
4,4555566667,1s4枚
4,4555566778,1s4枚
4,4555567777,1s4枚
4,4555567789,1s4枚
4,4555567888,1s4枚
4,4555567999,1s4枚
4,4555666777,1s4枚
4,4556667778,1s4枚
4,4556677789,1s4枚
4,4556677888,1s4枚
4,4556677999,1s4枚
4,4566667777,1s4枚
4,4566667789,1s4枚
4,4566667888,1s4枚
4,4566667999,1s4枚
4,4566677788,1s4枚
4,4566777889,1s4枚
4,4566778888,1s4枚
4,4566778999,1s4枚
4,4567777888,1s4枚
4,4567777999,1s4枚
4,4567778899,1s4枚
4,4567788889,1s4枚
4,4567789999,1s4枚
4,4567888999,1s4枚
4,4677778888,1s4枚
5,1111233457,3s2枚 4s3枚
5,1112334457,1s1枚 3s2枚 4s2枚
5,1112345888,8s1枚 9s4枚
5,1112345999,8s4枚 9s1枚
5,1113335678,1s1枚 2s4枚
5,1113344557,1s1枚 3s2枚 4s2枚
5,1113455567,1s1枚 9s4枚
5,1114445678,1s1枚 2s4枚
5,1114556678,1s1枚 2s4枚
5,1114566678,1s1枚 2s4枚
5,1114566789,1s1枚 2s4枚
5,1114667788,1s1枚 7s2枚 8s2枚
5,1114677889,1s1枚 7s2枚 8s2枚
5,1115555678,1s1枚 2s4枚
5,1115566778,1s1枚 2s4枚
5,1115666678,1s1枚 2s4枚
5,1115667788,1s1枚 2s4枚
5,1115677778,1s1枚 2s4枚
5,1115677889,1s1枚 2s4枚
5,1115678888,1s1枚 2s4枚
5,1115678999,1s1枚 2s4枚
5,1223345888,8s1枚 9s4枚
5,1223345999,8s4枚 9s1枚
5,1223346999,2s2枚 3s2枚 9s1枚
5,1233444457,1s3枚 3s2枚
5,1233455677,1s3枚 3s2枚
5,1234456888,8s1枚 9s4枚
5,1234456999,8s4枚 9s1枚
5,2222345888,8s1枚 9s4枚
5,2222345999,8s4枚 9s1枚
5,2223335678,1s4枚 2s1枚
5,2224445678,1s4枚 2s1枚
5,2224556678,1s4枚 2s1枚
5,2224566678,1s4枚 2s1枚
5,2224566789,1s4枚 2s1枚
5,2225555678,1s4枚 2s1枚
5,2225566778,1s4枚 2s1枚
5,2225666678,1s4枚 2s1枚
5,2225667788,1s4枚 2s1枚
5,2225677778,1s4枚 2s1枚
5,2225677889,1s4枚 2s1枚
5,2225678888,1s4枚 2s1枚
5,2225678999,1s4枚 2s1枚
5,2233445888,8s1枚 9s4枚
5,2233445999,8s4枚 9s1枚
5,2233446999,2s2枚 3s2枚 9s1枚
5,2333345888,8s1枚 9s4枚
5,2333345999,8s4枚 9s1枚
5,2334455888,8s1枚 9s4枚
5,2334455999,8s4枚 9s1枚
5,2344445888,8s1枚 9s4枚
5,2344445999,8s4枚 9s1枚
5,2344456888,8s1枚 9s4枚
5,2344456999,8s4枚 9s1枚
5,2344556888,8s1枚 9s4枚
5,2344556999,8s4枚 9s1枚
5,2345555888,8s1枚 9s4枚
5,2345555999,8s4枚 9s1枚
5,2345666888,8s1枚 9s4枚
5,2345666999,8s4枚 9s1枚
5,2345777888,8s1枚 9s4枚
5,2345777999,8s4枚 9s1枚
5,3345567789,7s2枚 9s3枚
5,3455567999,1s4枚 9s1枚
5,3556677999,6s2枚 7s2枚 9s1枚
5,3566667789,7s2枚 9s3枚
5,3566778999,6s2枚 7s2枚 9s1枚
5,3567789999,6s3枚 7s2枚
6,1111234678,7s3枚 8s3枚
