待ち牌のロス数,手牌,ロスの内訳
0,111122234567,
0,111122235678,
0,111122333457,
0,111122334568,
0,111122335678,
0,111123333457,
0,111123334567,
0,111123335678,
0,111123344457,
0,111123345699,
0,111123445677,
0,111123455567,
0,111123456667,
0,111123456788,
0,111123456799,
0,111123467778,
0,111123467888,
0,111134567888,
0,111222233337,
0,111222233457,
0,111222234568,
0,111222235678,
0,111222333457,
0,111222334567,
0,111222335678,
0,111222344457,
0,111222344567,
0,111222345667,
0,111222345677,
0,111222345679,
0,111222345699,
0,111222346678,
0,111222346789,
0,111223333457,
0,111223334457,
0,111223334567,
0,111223335678,
0,111223344568,
0,111223345677,
0,111223345678,
0,111223346678,
0,111223346789,
0,111223455678,
0,111223456667,
0,111223456678,
0,111223456788,
0,111223456789,
0,111233334457,
0,111233334557,
0,111233334568,
0,111233335678,
0,111233344557,
0,111233344567,
0,111233345677,
0,111233345678,
0,111233346678,
0,111233346789,
0,111233444457,
0,111233445568,
0,111233445699,
0,111233455557,
0,111233455677,
0,111233455678,
0,111233456667,
0,111233456678,
0,111233456778,
0,111233456788,
0,111233456789,
0,111233457777,
0,111233457789,
0,111233457888,
0,111233457999,
0,111234444568,
0,111234445677,
0,111234445678,
0,111234455567,
0,111234455668,
0,111234456667,
0,111234456788,
0,111234456799,
0,111234467778,
0,111234467888,
0,111234555568,
0,111234555667,
0,111234555677,
0,111234556667,
0,111234556678,
0,111234556788,
0,111234556789,
0,111234556799,
0,111234566668,
0,111234566677,
0,111234566678,
0,111234566679,
0,111234566788,
0,111234566789,
0,111234567778,
0,111234567788,
0,111234567889,
0,111234567899,
0,111234568888,
0,111234568999,
0,111234578889,
0,111234578999,
0,111235555678,
0,111235566778,
0,111235666678,
0,111235667788,
0,111235677778,
0,111235677889,
0,111235678888,
0,111235678999,
0,111245666678,
0,111245678999,
0,111333345699,
0,111334445678,
0,111334455699,
0,111334555567,
0,111334566678,
0,111334566789,
0,111334567778,
0,111334567888,
0,111334567899,
0,111344445699,
0,111344455678,
0,111344456667,
0,111344456678,
0,111344456788,
0,111344456789,
0,111344555567,
0,111344556699,
0,111344567888,
0,111345555667,
0,111345555677,
0,111345555699,
0,111345556678,
0,111345556789,
0,111345566799,
0,111345666699,
0,111345667778,
0,111345667888,
0,111345667899,
0,111345677788,
0,111345677789,
0,111345677799,
0,111345677888,
0,111345678889,
0,111345688899,
0,111355677778,
0,111356666778,
0,111356667888,
0,111356677778,
0,111356777788,
0,111356777789,
0,111356778999,
0,112222333347,
0,112222334567,
0,112222335678,
0,112222344567,
0,112222345677,
0,112222345678,
0,112222346678,
0,112222346789,
0,112223333457,
0,112223334568,
0,112223335678,
0,112223445567,
0,112223455678,
0,112223456678,
0,112223456789,
0,112224444567,
0,112224455667,
0,112224555567,
0,112224556677,
0,112224566667,
0,112224566778,
0,112224567777,
0,112224567789,
0,112224567888,
0,112224567999,
0,112233334567,
0,112233335678,
0,112233344457,
0,112233345699,
0,112233445677,
0,112233445678,
0,112233455567,
0,112233456667,
0,112233456788,
0,112233456799,
0,112233467778,
0,112233467888,
0,112234567888,
0,112235677778,
0,112333344567,
0,112333345677,
0,112333345678,
0,112333346678,
0,112333346789,
0,112334445567,
0,112334455677,
0,112334455678,
0,112334456678,
0,112334456789,
0,112334567888,
0,112344445677,
0,112344445678,
0,112344455667,
0,112344555567,
0,112344556677,
0,112344556678,
0,112344566667,
0,112344566778,
0,112344567777,
0,112344567789,
0,112344567888,
0,112344567999,
0,112345555677,
0,112345555678,
0,112345556678,
0,112345556789,
0,112345566777,
0,112345566778,
0,112345666677,
0,112345666678,
0,112345667778,
0,112345667788,
0,112345677778,
0,112345677789,
0,112345677888,
0,112345677889,
0,112345677999,
0,112345678888,
0,112345678999,
0,113333444457,
0,113333445567,
0,113333455677,
0,113333455678,
0,113333456678,
0,113333456789,
0,113334444567,
0,113334445678,
0,113334455667,
0,113334555567,
0,113334556677,
0,113334566667,
0,113334566678,
0,113334566778,
0,113334566789,
