待ち牌のロス数,手牌,ロスの内訳
0,114567,
0,345699,
4,113456,9s4枚
4,115678,2s4枚
4,222346,9s4枚
4,223456,9s4枚
4,224567,1s4枚
4,225678,1s4枚
4,233346,9s4枚
4,234588,9s4枚
4,234599,8s4枚
4,333457,1s4枚
4,334566,9s4枚
4,334567,1s4枚
4,344456,9s4枚
4,344457,1s4枚
4,345556,9s4枚
4,345677,9s4枚
4,345688,9s4枚
4,356667,9s4枚
4,356777,9s4枚
4,445677,1s4枚
4,455567,1s4枚
4,456667,1s4枚
4,456788,1s4枚
4,456799,1s4枚
4,467778,1s4枚
4,467888,1s4枚
6,111237,2s3枚 3s3枚
6,113457,3s3枚 4s3枚
6,114678,7s3枚 8s3枚
6,234447,2s3枚 3s3枚
6,234699,2s3枚 3s3枚
6,356799,6s3枚 7s3枚
6,366678,7s3枚 8s3枚
6,378999,7s3枚 8s3枚
7,234556,3s3枚 9s4枚
7,344567,6s3枚 9s4枚
7,345667,1s4枚 4s3枚
7,455678,1s4枚 7s3枚
8,111123,1m4枚 9m4枚
8,111222,1m4枚 9m4枚
8,111234,1m4枚 9m4枚
8,111235,8s4枚 9s4枚
8,111333,1m4枚 9m4枚
8,111345,1m4枚 9m4枚
8,111444,1m4枚 9m4枚
8,111456,1m4枚 9m4枚
8,111555,1m4枚 9m4枚
8,111567,1m4枚 9m4枚
8,111666,1m4枚 9m4枚
8,111678,1m4枚 9m4枚
8,111777,1m4枚 9m4枚
8,111789,1m4枚 9m4枚
8,111888,1m4枚 9m4枚
8,111999,1m4枚 9m4枚
8,112233,1m4枚 9m4枚
8,112345,8s4枚 9s4枚
8,113455,8s4枚 9s4枚
8,114456,8s4枚 9s4枚
8,114566,2s4枚 9s4枚
8,115567,2s4枚 9s4枚
8,115677,2s4枚 3s4枚
8,116678,2s4枚 3s4枚
8,116789,2s4枚 3s4枚
8,122223,1m4枚 9m4枚
8,122235,8s4枚 9s4枚
8,122334,1m4枚 9m4枚
8,123333,1m4枚 9m4枚
8,123345,1m4枚 9m4枚
8,123444,1m4枚 9m4枚
8,123456,1m4枚 9m4枚
8,123477,8s4枚 9s4枚
8,123488,7s4枚 9s4枚
8,123499,7s4枚 8s4枚
8,123555,1m4枚 9m4枚
8,123567,1m4枚 9m4枚
8,123666,1m4枚 9m4枚
8,123678,1m4枚 9m4枚
8,123777,1m4枚 9m4枚
8,123789,1m4枚 9m4枚
8,123888,1m4枚 9m4枚
8,123999,1m4枚 9m4枚
8,222234,1m4枚 9m4枚
8,222333,1m4枚 9m4枚
8,222345,1m4枚 9m4枚
8,222444,1m4枚 9m4枚
8,222456,1m4枚 9m4枚
8,222555,1m4枚 9m4枚
8,222567,1m4枚 9m4枚
8,222666,1m4枚 9m4枚
8,222678,1m4枚 9m4枚
8,222777,1m4枚 9m4枚
8,222789,1m4枚 9m4枚
8,222888,1m4枚 9m4枚
8,222999,1m4枚 9m4枚
8,223344,1m4枚 9m4枚
8,223455,8s4枚 9s4枚
8,224566,1s4枚 9s4枚
8,225567,1s4枚 9s4枚
8,225677,1s4枚 3s4枚
8,226678,1s4枚 3s4枚
8,226789,1s4枚 3s4枚
8,233334,1m4枚 9m4枚
8,233345,8s4枚 9s4枚
8,233445,1m4枚 9m4枚
8,234444,1m4枚 9m4枚
8,234445,8s4枚 9s4枚
8,234456,1m4枚 9m4枚
8,234477,8s4枚 9s4枚
8,234488,7s4枚 9s4枚
8,234499,7s4枚 8s4枚
8,234555,1m4枚 9m4枚
8,234566,8s4枚 9s4枚
8,234567,1m4枚 9m4枚
8,234577,8s4枚 9s4枚
8,234666,1m4枚 9m4枚
8,234678,1m4枚 9m4枚
8,234777,1m4枚 9m4枚
8,234789,1m4枚 9m4枚
8,234888,1m4枚 9m4枚
8,234999,1m4枚 9m4枚
8,245556,8s4枚 9s4枚
8,245666,8s4枚 9s4枚
8,333345,1m4枚 9m4枚
8,333444,1m4枚 9m4枚
8,333456,1m4枚 9m4枚
8,333555,1m4枚 9m4枚
8,333567,1m4枚 9m4枚
8,333666,1m4枚 9m4枚
8,333678,1m4枚 9m4枚
8,333777,1m4枚 9m4枚
8,333789,1m4枚 9m4枚
8,333888,1m4枚 9m4枚
8,333999,1m4枚 9m4枚
8,334445,8s4枚 9s4枚
8,334455,1m4枚 9m4枚
8,334577,8s4枚 9s4枚
8,334588,7s4枚 9s4枚
8,334599,7s4枚 8s4枚
8,335677,1s4枚 2s4枚
8,335678,1s4枚 2s4枚
8,336678,1s4枚 2s4枚
