待ち牌数,手牌,1s待ち,2s待ち,3s待ち,4s待ち,5s待ち,6s待ち,7s待ち,8s待ち,9s待ち
8,23,4,0,0,4,0,0,0,0,0
8,34,0,4,0,0,4,0,0,0,0
8,45,0,0,4,0,0,4,0,0,0
8,56,0,0,0,4,0,0,4,0,0
8,67,0,0,0,0,4,0,0,4,0
8,78,0,0,0,0,0,4,0,0,4
4,12,0,0,4,0,0,0,0,0,0
4,13,0,4,0,0,0,0,0,0,0
4,24,0,0,4,0,0,0,0,0,0
4,35,0,0,0,4,0,0,0,0,0
4,46,0,0,0,0,4,0,0,0,0
4,57,0,0,0,0,0,4,0,0,0
4,68,0,0,0,0,0,0,4,0,0
4,79,0,0,0,0,0,0,0,4,0
4,89,0,0,0,0,0,0,4,0,0
2,11,2,0,0,0,0,0,0,0,0
2,22,0,2,0,0,0,0,0,0,0
2,33,0,0,2,0,0,0,0,0,0
2,44,0,0,0,2,0,0,0,0,0
2,55,0,0,0,0,2,0,0,0,0
2,66,0,0,0,0,0,2,0,0,0
2,77,0,0,0,0,0,0,2,0,0
2,88,0,0,0,0,0,0,0,2,0
2,99,0,0,0,0,0,0,0,0,2
