待ち牌数,手牌,1s待ち,2s待ち,3s待ち,4s待ち,5s待ち,6s待ち,7s待ち,8s待ち,9s待ち
17,2223456,4,0,3,3,0,3,4,0,0
17,2345666,4,3,0,3,3,0,4,0,0
17,3334567,0,4,0,3,3,0,3,4,0
17,3456777,0,4,3,0,3,3,0,4,0
17,4445678,0,0,4,0,3,3,0,3,4
17,4567888,0,0,4,3,0,3,3,0,4
14,2333456,4,3,0,3,0,0,4,0,0
14,2345556,4,0,0,3,0,3,4,0,0
14,3444567,0,4,3,0,3,0,0,4,0
14,3456667,0,4,0,0,3,0,3,4,0
14,4555678,0,0,4,3,0,3,0,0,4
14,4567778,0,0,4,0,0,3,0,3,4
13,1112345,0,3,3,0,3,4,0,0,0
13,1233334,3,3,0,3,4,0,0,0,0
13,1234555,3,0,3,3,0,4,0,0,0
13,2223345,4,0,2,3,0,4,0,0,0
13,2223444,4,1,3,1,4,0,0,0,0
13,2233334,4,2,0,3,4,0,0,0,0
13,2333344,4,3,0,2,4,0,0,0,0
13,2333345,4,3,0,3,3,0,0,0,0
13,2344445,0,3,3,0,3,4,0,0,0
13,2344555,4,0,3,2,0,4,0,0,0
13,3334456,0,4,0,2,3,0,4,0,0
13,3334555,0,4,1,3,1,4,0,0,0
13,3344445,0,4,2,0,3,4,0,0,0
13,3444455,0,4,3,0,2,4,0,0,0
13,3444456,0,4,3,0,3,3,0,0,0
13,3455556,0,0,3,3,0,3,4,0,0
13,3455666,0,4,0,3,2,0,4,0,0
13,4445567,0,0,4,0,2,3,0,4,0
13,4445666,0,0,4,1,3,1,4,0,0
13,4455556,0,0,4,2,0,3,4,0,0
13,4555566,0,0,4,3,0,2,4,0,0
13,4555567,0,0,4,3,0,3,3,0,0
13,4566667,0,0,0,3,3,0,3,4,0
13,4566777,0,0,4,0,3,2,0,4,0
13,5556678,0,0,0,4,0,2,3,0,4
13,5556777,0,0,0,4,1,3,1,4,0
13,5556789,0,0,0,4,0,3,3,0,3
13,5566667,0,0,0,4,2,0,3,4,0
13,5666677,0,0,0,4,3,0,2,4,0
13,5666678,0,0,0,4,3,0,3,3,0
13,5677778,0,0,0,0,3,3,0,3,4
13,5677888,0,0,0,4,0,3,2,0,4
13,5678999,0,0,0,4,3,0,3,3,0
13,6667888,0,0,0,0,4,1,3,1,4
13,6677778,0,0,0,0,4,2,0,3,4
13,6777788,0,0,0,0,4,3,0,2,4
13,6777789,0,0,0,0,4,3,0,3,3
11,1113334,0,4,0,3,4,0,0,0,0
11,1113444,0,4,3,0,4,0,0,0,0
11,1113555,0,4,3,4,0,0,0,0,0
11,1114445,0,0,4,0,3,4,0,0,0
11,1114555,0,0,4,3,0,4,0,0,0
11,1115556,0,0,0,4,0,3,4,0,0
11,1115666,0,0,0,4,3,0,4,0,0
11,1116667,0,0,0,0,4,0,3,4,0
11,1116777,0,0,0,0,4,3,0,4,0
11,1117778,0,0,0,0,0,4,0,3,4
11,1117888,0,0,0,0,0,4,3,0,4
11,1134567,0,4,0,0,3,0,0,4,0
11,1145678,0,0,4,0,0,3,0,0,4
11,1235556,0,0,0,4,0,3,4,0,0
11,1235666,0,0,0,4,3,0,4,0,0
11,1236667,0,0,0,0,4,0,3,4,0
11,1236777,0,0,0,0,4,3,0,4,0
11,1237778,0,0,0,0,0,4,0,3,4
11,1237888,0,0,0,0,0,4,3,0,4
11,2223555,4,0,3,4,0,0,0,0,0
11,2223567,4,0,3,4,0,0,0,0,0
11,2223666,4,0,3,4,0,0,0,0,0
11,2223678,4,0,3,4,0,0,0,0,0
11,2223777,4,0,3,4,0,0,0,0,0
11,2223789,4,0,3,4,0,0,0,0,0
11,2223888,4,0,3,4,0,0,0,0,0
11,2223999,4,0,3,4,0,0,0,0,0
11,2224445,0,0,4,0,3,4,0,0,0
11,2224555,0,0,4,3,0,4,0,0,0
11,2224666,0,0,4,3,4,0,0,0,0
11,2225556,0,0,0,4,0,3,4,0,0
11,2225666,0,0,0,4,3,0,4,0,0
11,2226667,0,0,0,0,4,0,3,4,0
11,2226777,0,0,0,0,4,3,0,4,0
11,2227778,0,0,0,0,0,4,0,3,4
11,2227888,0,0,0,0,0,4,3,0,4
11,2245678,0,0,4,0,0,3,0,0,4
11,2333555,4,3,0,4,0,0,0,0,0
11,2333567,4,3,0,4,0,0,0,0,0
11,2333666,4,3,0,4,0,0,0,0,0
11,2333678,4,3,0,4,0,0,0,0,0
11,2333777,4,3,0,4,0,0,0,0,0
11,2333789,4,3,0,4,0,0,0,0,0
11,2333888,4,3,0,4,0,0,0,0,0
11,2333999,4,3,0,4,0,0,0,0,0
11,2345688,4,0,0,3,0,0,4,0,0
11,2345699,4,0,0,3,0,0,4,0,0
11,2346667,0,0,0,0,4,0,3,4,0
11,2346777,0,0,0,0,4,3,0,4,0
11,2347778,0,0,0,0,0,4,0,3,4
11,2347888,0,0,0,0,0,4,3,0,4
11,3334666,0,4,0,3,4,0,0,0,0
11,3334678,0,4,0,3,4,0,0,0,0
11,3334777,0,4,0,3,4,0,0,0,0
11,3334789,0,4,0,3,4,0,0,0,0
11,3334888,0,4,0,3,4,0,0,0,0
