待ち牌数,手牌,1s待ち,2s待ち,3s待ち,4s待ち,5s待ち,6s待ち,7s待ち,8s待ち,9s待ち
11,11122245678,0,0,4,0,0,3,0,0,4
11,11133334567,0,4,0,0,3,0,0,4,0
11,11134444567,0,4,0,0,3,0,0,4,0
11,11134566667,0,4,0,0,3,0,0,4,0
11,11134567777,0,4,0,0,3,0,0,4,0
11,11134567999,0,4,0,0,3,0,0,4,0
11,11144445678,0,0,4,0,0,3,0,0,4
11,11145555678,0,0,4,0,0,3,0,0,4
11,11145677778,0,0,4,0,0,3,0,0,4
11,11145678888,0,0,4,0,0,3,0,0,4
11,22223333456,4,0,0,3,0,0,4,0,0
11,22223455556,4,0,0,3,0,0,4,0,0
11,22223456666,4,0,0,3,0,0,4,0,0
11,22223456888,4,0,0,3,0,0,4,0,0
11,22223456999,4,0,0,3,0,0,4,0,0
11,22244445678,0,0,4,0,0,3,0,0,4
11,22245555678,0,0,4,0,0,3,0,0,4
11,22245677778,0,0,4,0,0,3,0,0,4
11,22245678888,0,0,4,0,0,3,0,0,4
11,23333455556,4,0,0,3,0,0,4,0,0
11,23333456666,4,0,0,3,0,0,4,0,0
11,23333456888,4,0,0,3,0,0,4,0,0
11,23333456999,4,0,0,3,0,0,4,0,0
11,23455556666,4,0,0,3,0,0,4,0,0
11,23455556888,4,0,0,3,0,0,4,0,0
11,23455556999,4,0,0,3,0,0,4,0,0
11,23456666888,4,0,0,3,0,0,4,0,0
11,23456666999,4,0,0,3,0,0,4,0,0
11,23456888999,4,0,0,3,0,0,4,0,0
11,33334444567,0,4,0,0,3,0,0,4,0
11,33334566667,0,4,0,0,3,0,0,4,0
11,33334567777,0,4,0,0,3,0,0,4,0
11,33334567999,0,4,0,0,3,0,0,4,0
11,34444566667,0,4,0,0,3,0,0,4,0
11,34444567777,0,4,0,0,3,0,0,4,0
11,34444567999,0,4,0,0,3,0,0,4,0
11,34566667777,0,4,0,0,3,0,0,4,0
11,34566667999,0,4,0,0,3,0,0,4,0
11,34567777999,0,4,0,0,3,0,0,4,0
11,44445555678,0,0,4,0,0,3,0,0,4
11,44445677778,0,0,4,0,0,3,0,0,4
11,44445678888,0,0,4,0,0,3,0,0,4
