待ち牌数,手牌,1s待ち,2s待ち,3s待ち,4s待ち,5s待ち,6s待ち,7s待ち,8s待ち,9s待ち
22,2223456777,4,1,3,3,3,3,1,4,0
22,3334567888,0,4,1,3,3,3,3,1,4
19,1112345678,0,3,3,0,3,3,0,3,4
19,1233334567,3,3,0,3,3,0,3,4,0
19,1234567888,3,0,3,3,0,3,3,0,4
19,2223456678,4,0,3,3,0,2,3,0,4
19,2223456789,4,0,3,3,0,3,3,0,3
19,2333344567,4,3,0,2,3,0,3,4,0
19,2344445678,0,3,3,0,3,3,0,3,4
19,2344567888,4,0,3,2,0,3,3,0,4
19,2345566667,4,3,0,3,2,0,3,4,0
19,2345666678,4,3,0,3,3,0,3,3,0
19,2345678999,4,3,0,3,3,0,3,3,0
19,3444455678,0,4,3,0,2,3,0,3,4
19,3456677778,0,4,3,0,3,2,0,3,4
19,3456777789,0,4,3,0,3,3,0,3,3
18,1112345666,1,3,3,3,3,1,4,0,0
18,2223444456,4,1,3,0,3,3,4,0,0
18,2344445666,4,3,3,0,3,1,4,0,0
18,3334555567,0,4,1,3,0,3,3,4,0
18,3455556777,0,4,3,3,0,3,1,4,0
18,4445666678,0,0,4,1,3,0,3,3,4
18,4445678999,0,0,4,1,3,3,3,3,1
18,4566667888,0,0,4,3,3,0,3,1,4
17,1113334567,0,4,0,3,3,0,3,4,0
17,1113455556,0,4,3,3,0,3,4,0,0
17,1113456777,0,4,3,0,3,3,0,4,0
17,1114445678,0,0,4,0,3,3,0,3,4
17,1114567888,0,0,4,3,0,3,3,0,4
17,2223455556,4,0,3,3,0,3,4,0,0
17,2223456888,4,0,3,3,0,3,4,0,0
17,2223456999,4,0,3,3,0,3,4,0,0
17,2224445678,0,0,4,0,3,3,0,3,4
17,2224566667,0,0,4,3,3,0,3,4,0
17,2224567888,0,0,4,3,0,3,3,0,4
17,2333345666,4,3,0,3,3,0,4,0,0
17,2333345777,4,3,0,3,3,4,0,0,0
17,2345666888,4,3,0,3,3,0,4,0,0
17,2345666999,4,3,0,3,3,0,4,0,0
17,3334566667,0,4,0,3,3,0,3,4,0
17,3334567999,0,4,0,3,3,0,3,4,0
17,3335677778,0,0,0,4,3,3,0,3,4
17,3444456777,0,4,3,0,3,3,0,4,0
17,3444456888,0,4,3,0,3,3,4,0,0
17,3456777999,0,4,3,0,3,3,0,4,0
17,4445677778,0,0,4,0,3,3,0,3,4
