待ち牌数,手牌,1s待ち,2s待ち,3s待ち,4s待ち,5s待ち,6s待ち,7s待ち,8s待ち,9s待ち
23,1112345666678,1,3,3,3,3,0,3,3,4
23,1112345678999,1,3,3,3,3,3,3,3,1
23,1233334567888,3,3,0,3,3,3,3,1,4
23,2223456677778,4,1,3,3,3,2,0,3,4
23,2223456777789,4,1,3,3,3,3,0,3,3
23,2333344567888,4,3,0,2,3,3,3,1,4
23,2333345677778,4,3,0,3,3,3,0,3,4
23,2344445666678,4,3,3,0,3,0,3,3,4
23,2344445678999,4,3,3,0,3,3,3,3,1
22,1113334567888,0,4,1,3,3,3,3,1,4
22,2223456777999,4,1,3,3,3,3,1,4,0
20,1112333345678,1,3,0,3,3,3,0,3,4
20,1234566667888,3,0,3,3,3,0,3,1,4
20,2223444456678,4,1,3,0,3,2,3,0,4
20,2223444456789,4,1,3,0,3,3,3,0,3
20,2333344445678,4,3,0,0,3,3,0,3,4
20,2344566667888,4,0,3,2,3,0,3,1,4
20,2345666677778,4,3,0,3,3,0,0,3,4
20,2345677778999,4,3,0,3,3,3,0,3,1
19,1112223456777,1,1,3,3,3,3,1,4,0
19,1112344445678,0,3,3,0,3,3,0,3,4
19,1112345566667,1,3,3,3,2,0,3,4,0
19,1112345677778,0,3,3,0,3,3,0,3,4
19,1113444455678,0,4,3,0,2,3,0,3,4
19,1113455556678,0,4,3,3,0,2,3,0,4
19,1113455556789,0,4,3,3,0,3,3,0,3
19,1113456677778,0,4,3,0,3,2,0,3,4
19,1113456777789,0,4,3,0,3,3,0,3,3
19,1222233456777,3,0,2,3,3,3,1,4,0
19,1222234566667,3,0,3,3,3,0,3,4,0
19,1222234567888,3,0,3,3,0,3,3,0,4
19,1233334555567,3,3,0,3,0,3,3,4,0
19,1233334566667,3,3,0,3,3,0,3,4,0
19,1233334567999,3,3,0,3,3,0,3,4,0
19,1234555567888,3,0,3,3,0,3,3,0,4
19,1234555567999,3,0,3,3,0,3,3,4,0
19,2222334456777,4,0,2,2,3,3,1,4,0
19,2222344566667,4,0,3,2,3,0,3,4,0
19,2222344567888,4,0,3,2,0,3,3,0,4
19,2223333456777,4,1,0,3,3,3,1,4,0
19,2223334567888,0,1,1,3,3,3,3,1,4
19,2223344556777,4,1,2,2,2,3,1,4,0
19,2223444455667,4,1,3,0,2,2,3,4,0
19,2223444456777,4,1,3,0,3,3,1,4,0
19,2223445566777,4,1,3,2,2,2,1,4,0
19,2223455556678,4,0,3,3,0,2,3,0,4
19,2223455556777,4,1,3,3,0,3,1,4,0
19,2223455556789,4,0,3,3,0,3,3,0,3
19,2223455667777,4,1,3,3,2,2,0,4,0
19,2223456666777,4,1,3,3,3,0,1,4,0
19,2223456667788,4,0,3,3,0,1,2,2,4
19,2223456678888,4,0,3,3,0,2,3,0,4
19,2223456777888,4,1,3,3,3,3,1,1,0
19,2223456788889,4,0,3,3,0,3,3,0,3
19,2233444566667,4,2,2,1,3,0,3,4,0
19,2233444567888,4,2,2,1,0,3,3,0,4
19,2333344555567,4,3,0,2,0,3,3,4,0
19,2333344566667,4,3,0,2,3,0,3,4,0
19,2333344567999,4,3,0,2,3,0,3,4,0
19,2333345556677,4,3,0,3,1,2,2,4,0
19,2333345566667,4,3,0,3,2,0,3,4,0
19,2333345567777,4,3,0,3,2,3,0,4,0
19,2333345666678,4,3,0,3,3,0,3,3,0
19,2333345678999,4,3,0,3,3,0,3,3,0
19,2334455556777,4,3,2,2,0,3,1,4,0
19,2344445566667,4,3,3,0,2,0,3,4,0
19,2344445677778,0,3,3,0,3,3,0,3,4
19,2344555567888,4,0,3,2,0,3,3,0,4
19,2344555567999,4,0,3,2,0,3,3,4,0
19,2345566667999,4,3,0,3,2,0,3,4,0
19,2345666678999,4,3,0,3,3,0,3,3,0
19,3333445567888,0,4,0,2,2,3,3,1,4
19,3333455677778,0,4,0,3,2,3,0,3,4
19,3334444567888,0,4,1,0,3,3,3,1,4
19,3334455667888,0,4,1,2,2,2,3,1,4
19,3334555566778,0,4,1,3,0,2,2,3,4
19,3334555567888,0,4,1,3,0,3,3,1,4
19,3334556677888,0,4,1,3,2,2,2,1,4
19,3334566667888,0,4,1,3,3,0,3,1,4
19,3334566778888,0,4,1,3,3,2,2,0,4
19,3334567777888,0,4,1,3,3,3,0,1,4
19,3334567788889,0,4,1,3,3,3,2,0,3
19,3334567888999,0,4,1,3,3,3,3,1,1
19,3344555677778,0,4,2,2,1,3,0,3,4
19,3444455666678,0,4,3,0,2,0,3,3,4
19,3444455677778,0,4,3,0,2,3,0,3,4
19,3444455678999,0,4,3,0,2,3,3,3,1
19,3444456667788,0,4,3,0,3,1,2,2,4
19,3444456677778,0,4,3,0,3,2,0,3,4
19,3444456678888,0,4,3,0,3,2,3,0,4
19,3444456777789,0,4,3,0,3,3,0,3,3
