待ち牌数,手牌,1s待ち,2s待ち,3s待ち,4s待ち,5s待ち,6s待ち,7s待ち,8s待ち,9s待ち
11,11134567,0,4,0,0,3,0,0,4,0
11,11145678,0,0,4,0,0,3,0,0,4
11,22223456,4,0,0,3,0,0,4,0,0
11,22245678,0,0,4,0,0,3,0,0,4
11,23333456,4,0,0,3,0,0,4,0,0
11,23455556,4,0,0,3,0,0,4,0,0
11,23456666,4,0,0,3,0,0,4,0,0
11,23456888,4,0,0,3,0,0,4,0,0
11,23456999,4,0,0,3,0,0,4,0,0
11,33334567,0,4,0,0,3,0,0,4,0
11,34444567,0,4,0,0,3,0,0,4,0
11,34566667,0,4,0,0,3,0,0,4,0
11,34567777,0,4,0,0,3,0,0,4,0
11,34567999,0,4,0,0,3,0,0,4,0
11,44445678,0,0,4,0,0,3,0,0,4
11,45555678,0,0,4,0,0,3,0,0,4
11,45677778,0,0,4,0,0,3,0,0,4
11,45678888,0,0,4,0,0,3,0,0,4
10,12233456,3,0,0,3,0,0,4,0,0
10,12334567,0,3,0,0,3,0,0,4,0
10,12345678,0,0,3,0,0,3,0,0,4
10,22334456,4,0,0,2,0,0,4,0,0
10,23344556,4,0,0,2,0,0,4,0,0
10,23344567,0,3,0,0,3,0,0,4,0
10,23445566,4,0,0,2,0,0,4,0,0
10,23445678,0,0,3,0,0,3,0,0,4
10,23455667,4,0,0,3,0,0,3,0,0
10,23456678,4,0,0,3,0,0,3,0,0
10,23456789,4,0,0,3,0,0,3,0,0
10,33445567,0,4,0,0,2,0,0,4,0
10,34455667,0,4,0,0,2,0,0,4,0
10,34455678,0,0,3,0,0,3,0,0,4
10,34556677,0,4,0,0,2,0,0,4,0
10,34566778,0,4,0,0,3,0,0,3,0
10,34567789,0,4,0,0,3,0,0,3,0
10,44556678,0,0,4,0,0,2,0,0,4
10,45566778,0,0,4,0,0,2,0,0,4
10,45667788,0,0,4,0,0,2,0,0,4
10,45677889,0,0,4,0,0,3,0,0,3
8,11112356,0,0,0,4,0,0,4,0,0
8,11112367,0,0,0,0,4,0,0,4,0
8,11112378,0,0,0,0,0,4,0,0,4
8,11122245,0,0,4,0,0,4,0,0,0
8,11122256,0,0,0,4,0,0,4,0,0
8,11122267,0,0,0,0,4,0,0,4,0
8,11122278,0,0,0,0,0,4,0,0,4
8,11123456,1,0,0,3,0,0,4,0,0
8,11123467,0,0,0,0,4,0,0,4,0
8,11123478,0,0,0,0,0,4,0,0,4
8,11133334,0,4,0,0,4,0,0,0,0
8,11133356,0,0,0,4,0,0,4,0,0
8,11133367,0,0,0,0,4,0,0,4,0
8,11133378,0,0,0,0,0,4,0,0,4
8,11134444,0,4,0,0,4,0,0,0,0
8,11134578,0,0,0,0,0,4,0,0,4
8,11134666,0,4,0,0,4,0,0,0,0
8,11134678,0,4,0,0,4,0,0,0,0
8,11134777,0,4,0,0,4,0,0,0,0
8,11134789,0,4,0,0,4,0,0,0,0
8,11134888,0,4,0,0,4,0,0,0,0
8,11134999,0,4,0,0,4,0,0,0,0
8,11144445,0,0,4,0,0,4,0,0,0
8,11144467,0,0,0,0,4,0,0,4,0
8,11144478,0,0,0,0,0,4,0,0,4
8,11145555,0,0,4,0,0,4,0,0,0
8,11145777,0,0,4,0,0,4,0,0,0
8,11145789,0,0,4,0,0,4,0,0,0
8,11145888,0,0,4,0,0,4,0,0,0
8,11145999,0,0,4,0,0,4,0,0,0
8,11155556,0,0,0,4,0,0,4,0,0
8,11155578,0,0,0,0,0,4,0,0,4
8,11156666,0,0,0,4,0,0,4,0,0
8,11156888,0,0,0,4,0,0,4,0,0
8,11156999,0,0,0,4,0,0,4,0,0
8,11166667,0,0,0,0,4,0,0,4,0
8,11167777,0,0,0,0,4,0,0,4,0
8,11167999,0,0,0,0,4,0,0,4,0
8,11177778,0,0,0,0,0,4,0,0,4
8,11178888,0,0,0,0,0,4,0,0,4
8,11223356,0,0,0,4,0,0,4,0,0
8,11223367,0,0,0,0,4,0,0,4,0
8,11223378,0,0,0,0,0,4,0,0,4
8,12222356,0,0,0,4,0,0,4,0,0
8,12222367,0,0,0,0,4,0,0,4,0
8,12222378,0,0,0,0,0,4,0,0,4
8,12233467,0,0,0,0,4,0,0,4,0
8,12233478,0,0,0,0,0,4,0,0,4
8,12333356,0,0,0,4,0,0,4,0,0
8,12333367,0,0,0,0,4,0,0,4,0
8,12333378,0,0,0,0,0,4,0,0,4
8,12334578,0,0,0,0,0,4,0,0,4
8,12344467,0,0,0,0,4,0,0,4,0
8,12344478,0,0,0,0,0,4,0,0,4
8,12355556,0,0,0,4,0,0,4,0,0
8,12355578,0,0,0,0,0,4,0,0,4
8,12356666,0,0,0,4,0,0,4,0,0
8,12356888,0,0,0,4,0,0,4,0,0
8,12356999,0,0,0,4,0,0,4,0,0
8,12366667,0,0,0,0,4,0,0,4,0
8,12367777,0,0,0,0,4,0,0,4,0
8,12367999,0,0,0,0,4,0,0,4,0
8,12377778,0,0,0,0,0,4,0,0,4
8,12378888,0,0,0,0,0,4,0,0,4
8,22223333,4,0,0,4,0,0,0,0,0
8,22223467,0,0,0,0,4,0,0,4,0
8,22223478,0,0,0,0,0,4,0,0,4
8,22223555,4,0,0,4,0,0,0,0,0
8,22223567,4,0,0,4,0,0,0,0,0
8,22223666,4,0,0,4,0,0,0,0,0
8,22223678,4,0,0,4,0,0,0,0,0
8,22223777,4,0,0,4,0,0,0,0,0
8,22223789,4,0,0,4,0,0,0,0,0
8,22223888,4,0,0,4,0,0,0,0,0
8,22223999,4,0,0,4,0,0,0,0,0
8,22233356,0,0,0,4,0,0,4,0,0
8,22233367,0,0,0,0,4,0,0,4,0
8,22233378,0,0,0,0,0,4,0,0,4
8,22234567,0,1,0,0,3,0,0,4,0
8,22234578,0,0,0,0,0,4,0,0,4
8,22244445,0,0,4,0,0,4,0,0,0
8,22244467,0,0,0,0,4,0,0,4,0
8,22244478,0,0,0,0,0,4,0,0,4
8,22245555,0,0,4,0,0,4,0,0,0
8,22245777,0,0,4,0,0,4,0,0,0
8,22245789,0,0,4,0,0,4,0,0,0
8,22245888,0,0,4,0,0,4,0,0,0
8,22245999,0,0,4,0,0,4,0,0,0
8,22255556,0,0,0,4,0,0,4,0,0
8,22255578,0,0,0,0,0,4,0,0,4
8,22256666,0,0,0,4,0,0,4,0,0
8,22256888,0,0,0,4,0,0,4,0,0
8,22256999,0,0,0,4,0,0,4,0,0
8,22266667,0,0,0,0,4,0,0,4,0
8,22267777,0,0,0,0,4,0,0,4,0
8,22267999,0,0,0,0,4,0,0,4,0
8,22277778,0,0,0,0,0,4,0,0,4
8,22278888,0,0,0,0,0,4,0,0,4
8,22334467,0,0,0,0,4,0,0,4,0
8,22334478,0,0,0,0,0,4,0,0,4
8,23333467,0,0,0,0,4,0,0,4,0
8,23333478,0,0,0,0,0,4,0,0,4
8,23333555,4,0,0,4,0,0,0,0,0
8,23333567,4,0,0,4,0,0,0,0,0
8,23333666,4,0,0,4,0,0,0,0,0
8,23333678,4,0,0,4,0,0,0,0,0
8,23333777,4,0,0,4,0,0,0,0,0
8,23333789,4,0,0,4,0,0,0,0,0
8,23333888,4,0,0,4,0,0,0,0,0
8,23333999,4,0,0,4,0,0,0,0,0
8,23344578,0,0,0,0,0,4,0,0,4
8,23444456,4,0,0,0,0,0,4,0,0
8,23444467,0,0,0,0,4,0,0,4,0
8,23444478,0,0,0,0,0,4,0,0,4
8,23455578,0,0,0,0,0,4,0,0,4
8,23456777,4,0,0,3,0,0,1,0,0
8,23466667,0,0,0,0,4,0,0,4,0
8,23467777,0,0,0,0,4,0,0,4,0
8,23467999,0,0,0,0,4,0,0,4,0
8,23477778,0,0,0,0,0,4,0,0,4
8,23478888,0,0,0,0,0,4,0,0,4
8,23555567,4,0,0,4,0,0,0,0,0
8,23555666,4,0,0,4,0,0,0,0,0
8,23555678,4,0,0,4,0,0,0,0,0
8,23555777,4,0,0,4,0,0,0,0,0
8,23555789,4,0,0,4,0,0,0,0,0
8,23555888,4,0,0,4,0,0,0,0,0
8,23555999,4,0,0,4,0,0,0,0,0
8,23556677,4,0,0,4,0,0,0,0,0
8,23566667,4,0,0,4,0,0,0,0,0
8,23566778,4,0,0,4,0,0,0,0,0
8,23567777,4,0,0,4,0,0,0,0,0
8,23567789,4,0,0,4,0,0,0,0,0
8,23567888,4,0,0,4,0,0,0,0,0
8,23567999,4,0,0,4,0,0,0,0,0
8,23666678,4,0,0,4,0,0,0,0,0
8,23666777,4,0,0,4,0,0,0,0,0
8,23666789,4,0,0,4,0,0,0,0,0
8,23666888,4,0,0,4,0,0,0,0,0
8,23666999,4,0,0,4,0,0,0,0,0
8,23667788,4,0,0,4,0,0,0,0,0
8,23677778,4,0,0,4,0,0,0,0,0
8,23677889,4,0,0,4,0,0,0,0,0
8,23678888,4,0,0,4,0,0,0,0,0
8,23678999,4,0,0,4,0,0,0,0,0
8,23777789,4,0,0,4,0,0,0,0,0
8,23777888,4,0,0,4,0,0,0,0,0
8,23777999,4,0,0,4,0,0,0,0,0
8,23778899,4,0,0,4,0,0,0,0,0
8,23788889,4,0,0,4,0,0,0,0,0
8,23789999,4,0,0,4,0,0,0,0,0
8,23888999,4,0,0,4,0,0,0,0,0
8,33334444,0,4,0,0,4,0,0,0,0
8,33334578,0,0,0,0,0,4,0,0,4
8,33334666,0,4,0,0,4,0,0,0,0
8,33334678,0,4,0,0,4,0,0,0,0
8,33334777,0,4,0,0,4,0,0,0,0
8,33334789,0,4,0,0,4,0,0,0,0
8,33334888,0,4,0,0,4,0,0,0,0
8,33334999,0,4,0,0,4,0,0,0,0
8,33344467,0,0,0,0,4,0,0,4,0
8,33344478,0,0,0,0,0,4,0,0,4
8,33345678,0,0,1,0,0,3,0,0,4
8,33355556,0,0,0,4,0,0,4,0,0
8,33355578,0,0,0,0,0,4,0,0,4
8,33356666,0,0,0,4,0,0,4,0,0
8,33356888,0,0,0,4,0,0,4,0,0
8,33356999,0,0,0,4,0,0,4,0,0
8,33366667,0,0,0,0,4,0,0,4,0
8,33367777,0,0,0,0,4,0,0,4,0
8,33367999,0,0,0,0,4,0,0,4,0
8,33377778,0,0,0,0,0,4,0,0,4
8,33378888,0,0,0,0,0,4,0,0,4
8,33445578,0,0,0,0,0,4,0,0,4
8,34444578,0,0,0,0,0,4,0,0,4
8,34444666,0,4,0,0,4,0,0,0,0
8,34444678,0,4,0,0,4,0,0,0,0
8,34444777,0,4,0,0,4,0,0,0,0
8,34444789,0,4,0,0,4,0,0,0,0
8,34444888,0,4,0,0,4,0,0,0,0
8,34444999,0,4,0,0,4,0,0,0,0
8,34555567,0,4,0,0,0,0,0,4,0
8,34555578,0,0,0,0,0,4,0,0,4
8,34567888,0,4,0,0,3,0,0,1,0
8,34577778,0,0,0,0,0,4,0,0,4
8,34578888,0,0,0,0,0,4,0,0,4
8,34666678,0,4,0,0,4,0,0,0,0
8,34666777,0,4,0,0,4,0,0,0,0
8,34666789,0,4,0,0,4,0,0,0,0
8,34666888,0,4,0,0,4,0,0,0,0
8,34666999,0,4,0,0,4,0,0,0,0
8,34667788,0,4,0,0,4,0,0,0,0
8,34677778,0,4,0,0,4,0,0,0,0
8,34677889,0,4,0,0,4,0,0,0,0
8,34678888,0,4,0,0,4,0,0,0,0
8,34678999,0,4,0,0,4,0,0,0,0
8,34777789,0,4,0,0,4,0,0,0,0
8,34777888,0,4,0,0,4,0,0,0,0
8,34777999,0,4,0,0,4,0,0,0,0
8,34778899,0,4,0,0,4,0,0,0,0
8,34788889,0,4,0,0,4,0,0,0,0
8,34789999,0,4,0,0,4,0,0,0,0
8,34888999,0,4,0,0,4,0,0,0,0
8,44445555,0,0,4,0,0,4,0,0,0
8,44445777,0,0,4,0,0,4,0,0,0
8,44445789,0,0,4,0,0,4,0,0,0
8,44445888,0,0,4,0,0,4,0,0,0
8,44445999,0,0,4,0,0,4,0,0,0
8,44455578,0,0,0,0,0,4,0,0,4
8,44466667,0,0,0,0,4,0,0,4,0
8,44467777,0,0,0,0,4,0,0,4,0
8,44467999,0,0,0,0,4,0,0,4,0
8,44477778,0,0,0,0,0,4,0,0,4
8,44478888,0,0,0,0,0,4,0,0,4
8,45555777,0,0,4,0,0,4,0,0,0
8,45555789,0,0,4,0,0,4,0,0,0
8,45555888,0,0,4,0,0,4,0,0,0
8,45555999,0,0,4,0,0,4,0,0,0
8,45666678,0,0,4,0,0,0,0,0,4
8,45678999,0,0,4,0,0,3,0,0,1
8,45777789,0,0,4,0,0,4,0,0,0
8,45777888,0,0,4,0,0,4,0,0,0
8,45777999,0,0,4,0,0,4,0,0,0
8,45778899,0,0,4,0,0,4,0,0,0
8,45788889,0,0,4,0,0,4,0,0,0
8,45789999,0,0,4,0,0,4,0,0,0
